x,y,p
-82828.615883904,83390.6088060429,1.559
-82825.6988467618,67469.0720203582,1.493
-82791.4707558292,70344.3757318228,1.493
-82778.7377205516,-20835.867489732,1.549
-82572.9909204903,64283.3622247497,1.498
-82330.8720609791,76374.9583108485,1.498
-81668.1788687009,32339.8279552954,1.544
-81601.4432583817,63714.5486013251,1.494
-81123.2980830296,65967.2287219664,1.489
-81103.8828186527,63410.7420070032,1.494
-80800.6319579041,34254.0850649714,1.544
-80620.680126421,55484.1670107946,1.523
-80192.6039732919,-34703.1993247366,1.559
-80129.3067807044,89175.7978725825,1.529
-79772.973751141,89884.6651502626,1.524
-79699.2234092525,89513.3604526137,1.509
-79674.3142413426,90056.100032335,1.504
-79459.5245516801,-34322.6739747604,1.54
-79399.4656406011,90556.691274591,1.519
-79328.4564777239,-34447.4114538174,1.559
-78496.4036940312,39508.8706187577,1.544
-78451.9975333026,154409.22444131,1.465
-77603.2404768817,93812.7475450129,1.519
-77466.6179827269,17441.6915082329,1.547
-76698.1647182792,51518.735596053,1.529
-75908.9660965874,98254.7263527162,1.524
-75753.6552858959,137403.647237937,1.529
-75405.9117456756,16639.9655144486,1.547
-75172.2974651559,97593.3886439024,1.514
-74367.830226537,108128.312934549,1.539
-73921.1109526539,-14675.1582828243,1.577
-73727.1817964718,49691.6624662256,1.535
-73657.0021865224,49439.8975890226,1.52
-73572.5925730102,49287.0409447768,1.551
-73242.0768044237,25489.0135560919,1.549
-73217.2876951687,48739.6097659257,1.523
-73145.0543265024,48761.4525888917,1.533
-73062.8735817756,166789.72036507,1.459
-72566.9598186297,49038.728698089,1.522
-72432.0791363496,138201.769476539,1.505
-72327.4368698601,53780.49847638,1.518
-72000.1087468882,139582.446502868,1.495
-71742.1697636648,-24600.2289288804,1.579
-71693.7340953891,163046.368913519,1.465
-71676.6979320855,160842.535023486,1.479
-71570.7912868246,168394.932098062,1.459
-70664.3500096622,-76320.6180294809,1.619
-70619.5268696747,-75494.3332274265,1.629
-70608.6619943586,177295.063533555,1.459
-70587.1946397852,82422.7493624419,1.519
-70502.6514573396,82454.265663173,1.503
-70488.291167326,-15627.1542474285,1.579
-70211.2223303114,152217.62805722,1.479
-69592.4558264915,104653.991924216,1.524
-69559.3472630728,164271.90256125,1.469
-69260.380712342,68355.1815386196,1.544
-69108.4255028311,69816.4351180756,1.544
-69005.913786821,144812.581703681,1.492
-68957.220576635,69166.6507303649,1.545
-68509.4982287228,70636.3668353798,1.549
-68366.9163671592,146110.295414515,1.492
-68007.1014887908,134016.264236299,1.504
-67969.4389880438,146826.491726386,1.479
-67869.226036044,181768.359009187,1.475
-67716.8812855628,152285.021108014,1.479
-67418.7893080125,165850.718805104,1.459
-67189.7655262908,6278.81260417675,1.584
-67027.5717494521,136230.317921353,1.505
-66803.7489254319,5363.06061159319,1.538
-66702.0098215742,5013.17202515679,1.533
-66230.8652584387,4453.76545976195,1.538
-66215.5727482105,4385.33783795196,1.569
-66185.7917270886,4285.27691677876,1.533
-65414.1708528004,18626.5896451642,1.533
-65405.5123799012,19705.1714027213,1.569
-65307.2244743655,17971.6996272933,1.544
-65203.8561540415,3005.50031148054,1.549
-64630.067533031,72519.6594398915,1.499
-64588.2259026328,2453.00822597771,1.545
-63587.1814946213,26584.0791231503,1.583
-63572.1485090361,159215.103673621,1.489
-63437.4404668179,4415.11011330347,1.563
-63381.3222767541,4491.06135839794,1.578
-63300.6296867236,183197.663349099,1.475
-63200.0566234681,31119.395626845,1.554
-63128.6564315132,160599.317743806,1.489
-62644.5279474509,176223.245455917,1.498
-62494.1805714836,176077.872468859,1.459
-62357.2866202564,160641.445217782,1.492
-62256.9549684647,160833.169455999,1.499
-62123.9869507535,-48547.0919817428,1.589
-62071.0808082676,-52277.6597175902,1.59
-61977.9944602752,-49103.7242106097,1.579
